pdf,text,model,sdgs,reasoning
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"die Angabe einer der drei Religionszugehörigkeiten – Islam, Christentum und Judentum – mit einer Ausnahme vorgeschrieben: Seit 2009 wird bei den Baháʼí ein Strich („-“) eingetragen. Etwa 90 Prozent der etwa 109 Millionen Einwohnerinnen und Einwohner Ägyptens sind sunnitischen Glaubens, ca. zehn Prozent christlichen Glaubens – davon rund 90 Prozent koptisch. Nur noch eine kleine Zahl von Jüdinnen und Juden leben in Ägypten. Die vermutlich größten nicht gesetzlich anerkannten religiösen Gruppen sind Schiiten und Schiitinnen sowie Baháʼí. Seriöse Schätzungen gehen von einigen hunderttausend schiitischen Musliminnen und Muslimen aus. Die religiöse Minderheit der Bahá’í zählt 1.000 bis 2.000 Mitglieder. Verlässliche Zahlenangaben zu Ahmadiyya, Zeugen Jehovas und anderen kleinen Zeugen Jehovas werden als Christ bzw. Christin geführt, ihre Aktivität wurde aber durch einen Präsidialerlass untersagt. Der Wechsel der Religionszugehörigkeit ist gesetzlich erlaubt; auch die Abkehr vom Islam (Apostasie) ist nicht gesetz",llama3.2:3b,[10.2],
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"die Angabe einer der drei Religionszugehörigkeiten – Islam, Christentum und Judentum – mit einer Ausnahme vorgeschrieben: Seit 2009 wird bei den Baháʼí ein Strich („-“) eingetragen. Etwa 90 Prozent der etwa 109 Millionen Einwohnerinnen und Einwohner Ägyptens sind sunnitischen Glaubens, ca. zehn Prozent christlichen Glaubens – davon rund 90 Prozent koptisch. Nur noch eine kleine Zahl von Jüdinnen und Juden leben in Ägypten. Die vermutlich größten nicht gesetzlich anerkannten religiösen Gruppen sind Schiiten und Schiitinnen sowie Baháʼí. Seriöse Schätzungen gehen von einigen hunderttausend schiitischen Musliminnen und Muslimen aus. Die religiöse Minderheit der Bahá’í zählt 1.000 bis 2.000 Mitglieder. Verlässliche Zahlenangaben zu Ahmadiyya, Zeugen Jehovas und anderen kleinen Zeugen Jehovas werden als Christ bzw. Christin geführt, ihre Aktivität wurde aber durch einen Präsidialerlass untersagt. Der Wechsel der Religionszugehörigkeit ist gesetzlich erlaubt; auch die Abkehr vom Islam (Apostasie) ist nicht gesetz",olfh/teuken-7b-instruct-commercial-v0.4:7b,"[5, 10.2, 14.6]",
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"die Angabe einer der drei Religionszugehörigkeiten – Islam, Christentum und Judentum – mit einer Ausnahme vorgeschrieben: Seit 2009 wird bei den Baháʼí ein Strich („-“) eingetragen. Etwa 90 Prozent der etwa 109 Millionen Einwohnerinnen und Einwohner Ägyptens sind sunnitischen Glaubens, ca. zehn Prozent christlichen Glaubens – davon rund 90 Prozent koptisch. Nur noch eine kleine Zahl von Jüdinnen und Juden leben in Ägypten. Die vermutlich größten nicht gesetzlich anerkannten religiösen Gruppen sind Schiiten und Schiitinnen sowie Baháʼí. Seriöse Schätzungen gehen von einigen hunderttausend schiitischen Musliminnen und Muslimen aus. Die religiöse Minderheit der Bahá’í zählt 1.000 bis 2.000 Mitglieder. Verlässliche Zahlenangaben zu Ahmadiyya, Zeugen Jehovas und anderen kleinen Zeugen Jehovas werden als Christ bzw. Christin geführt, ihre Aktivität wurde aber durch einen Präsidialerlass untersagt. Der Wechsel der Religionszugehörigkeit ist gesetzlich erlaubt; auch die Abkehr vom Islam (Apostasie) ist nicht gesetz",qwen2.5:7b,[10.2],
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"die Angabe einer der drei Religionszugehörigkeiten – Islam, Christentum und Judentum – mit einer Ausnahme vorgeschrieben: Seit 2009 wird bei den Baháʼí ein Strich („-“) eingetragen. Etwa 90 Prozent der etwa 109 Millionen Einwohnerinnen und Einwohner Ägyptens sind sunnitischen Glaubens, ca. zehn Prozent christlichen Glaubens – davon rund 90 Prozent koptisch. Nur noch eine kleine Zahl von Jüdinnen und Juden leben in Ägypten. Die vermutlich größten nicht gesetzlich anerkannten religiösen Gruppen sind Schiiten und Schiitinnen sowie Baháʼí. Seriöse Schätzungen gehen von einigen hunderttausend schiitischen Musliminnen und Muslimen aus. Die religiöse Minderheit der Bahá’í zählt 1.000 bis 2.000 Mitglieder. Verlässliche Zahlenangaben zu Ahmadiyya, Zeugen Jehovas und anderen kleinen Zeugen Jehovas werden als Christ bzw. Christin geführt, ihre Aktivität wurde aber durch einen Präsidialerlass untersagt. Der Wechsel der Religionszugehörigkeit ist gesetzlich erlaubt; auch die Abkehr vom Islam (Apostasie) ist nicht gesetz",mistral:7b,"[16.1, 5.3]",
dritter-religions-und-weltanschauungsfreiheitsbericht.pdf,"die Angabe einer der drei Religionszugehörigkeiten – Islam, Christentum und Judentum – mit einer Ausnahme vorgeschrieben: Seit 2009 wird bei den Baháʼí ein Strich („-“) eingetragen. Etwa 90 Prozent der etwa 109 Millionen Einwohnerinnen und Einwohner Ägyptens sind sunnitischen Glaubens, ca. zehn Prozent christlichen Glaubens – davon rund 90 Prozent koptisch. Nur noch eine kleine Zahl von Jüdinnen und Juden leben in Ägypten. Die vermutlich größten nicht gesetzlich anerkannten religiösen Gruppen sind Schiiten und Schiitinnen sowie Baháʼí. Seriöse Schätzungen gehen von einigen hunderttausend schiitischen Musliminnen und Muslimen aus. Die religiöse Minderheit der Bahá’í zählt 1.000 bis 2.000 Mitglieder. Verlässliche Zahlenangaben zu Ahmadiyya, Zeugen Jehovas und anderen kleinen Zeugen Jehovas werden als Christ bzw. Christin geführt, ihre Aktivität wurde aber durch einen Präsidialerlass untersagt. Der Wechsel der Religionszugehörigkeit ist gesetzlich erlaubt; auch die Abkehr vom Islam (Apostasie) ist nicht gesetz",llama3.1:8b,[10.2],
materialie245-afrika-kochbuch.pdf,"Qualität der Grundbildung ab; dabei steht die Lehrerausbildung im Fokus. Im Gesundheitsbereich geht es darum, den Gesundheitszustand der Bevölkerung – vor allem von Müttern und Neugeborenen – zu verbessern, indem die Versorgung mit essenziellen Gesundheitsdiensten sichergestellt wird. Da große Teile der malawischen Landbevölkerung unter Armut leiden und es an Beschäftigungsmöglichkeiten mangelt, sind Beschäftigungszuwachs und Einkommenssteigerungen Ziele der deutschen Entwicklungszusammenarbeit in der ländlichen Entwicklung. Durch die Stärkung des öffentlichen Finanzmanagements wird dazu beigetragen, dass die Regierung über die Verwendung der Finanzmittel Rechenschaft ablegt und die Gelder im Sinne der armen Bevölkerung verwendet und möglichst effizient eingesetzt werden. Tansania Sambia Indischer OzeanMalawiMwiMalaw rund um Malawi Mosambik hauptStaDtLilongwe Simbabwe Madagaskar fLÄChe118.484 km² einWohnerzahL15,3 Mio. eXportgüterTabak, Tee, Zucker, Baumwolle Nsima (Brei aus Maismehl) mit Bohnen, Kraut und Hähnchen hauptnahrungSMitteL SehenSWürDigkeitenMalawi-See, Kasungu- und Liwonde-Nationalpark BrÄuChe unD feSteMonsun-Fest Malawi 37 fUtali Futali ist ein eigenständiges Gericht, das mit Süßkartoffeln, Kürbis, Maniok oder grünen (Koch-)Bananen zubereitet werden kann.",llama3.2:3b,"[17.16, 17.18, 10.3]",
materialie245-afrika-kochbuch.pdf,"Qualität der Grundbildung ab; dabei steht die Lehrerausbildung im Fokus. Im Gesundheitsbereich geht es darum, den Gesundheitszustand der Bevölkerung – vor allem von Müttern und Neugeborenen – zu verbessern, indem die Versorgung mit essenziellen Gesundheitsdiensten sichergestellt wird. Da große Teile der malawischen Landbevölkerung unter Armut leiden und es an Beschäftigungsmöglichkeiten mangelt, sind Beschäftigungszuwachs und Einkommenssteigerungen Ziele der deutschen Entwicklungszusammenarbeit in der ländlichen Entwicklung. Durch die Stärkung des öffentlichen Finanzmanagements wird dazu beigetragen, dass die Regierung über die Verwendung der Finanzmittel Rechenschaft ablegt und die Gelder im Sinne der armen Bevölkerung verwendet und möglichst effizient eingesetzt werden. Tansania Sambia Indischer OzeanMalawiMwiMalaw rund um Malawi Mosambik hauptStaDtLilongwe Simbabwe Madagaskar fLÄChe118.484 km² einWohnerzahL15,3 Mio. eXportgüterTabak, Tee, Zucker, Baumwolle Nsima (Brei aus Maismehl) mit Bohnen, Kraut und Hähnchen hauptnahrungSMitteL SehenSWürDigkeitenMalawi-See, Kasungu- und Liwonde-Nationalpark BrÄuChe unD feSteMonsun-Fest Malawi 37 fUtali Futali ist ein eigenständiges Gericht, das mit Süßkartoffeln, Kürbis, Maniok oder grünen (Koch-)Bananen zubereitet werden kann.",olfh/teuken-7b-instruct-commercial-v0.4:7b,"[3.1, 3.2, 8.5]",
materialie245-afrika-kochbuch.pdf,"Qualität der Grundbildung ab; dabei steht die Lehrerausbildung im Fokus. Im Gesundheitsbereich geht es darum, den Gesundheitszustand der Bevölkerung – vor allem von Müttern und Neugeborenen – zu verbessern, indem die Versorgung mit essenziellen Gesundheitsdiensten sichergestellt wird. Da große Teile der malawischen Landbevölkerung unter Armut leiden und es an Beschäftigungsmöglichkeiten mangelt, sind Beschäftigungszuwachs und Einkommenssteigerungen Ziele der deutschen Entwicklungszusammenarbeit in der ländlichen Entwicklung. Durch die Stärkung des öffentlichen Finanzmanagements wird dazu beigetragen, dass die Regierung über die Verwendung der Finanzmittel Rechenschaft ablegt und die Gelder im Sinne der armen Bevölkerung verwendet und möglichst effizient eingesetzt werden. Tansania Sambia Indischer OzeanMalawiMwiMalaw rund um Malawi Mosambik hauptStaDtLilongwe Simbabwe Madagaskar fLÄChe118.484 km² einWohnerzahL15,3 Mio. eXportgüterTabak, Tee, Zucker, Baumwolle Nsima (Brei aus Maismehl) mit Bohnen, Kraut und Hähnchen hauptnahrungSMitteL SehenSWürDigkeitenMalawi-See, Kasungu- und Liwonde-Nationalpark BrÄuChe unD feSteMonsun-Fest Malawi 37 fUtali Futali ist ein eigenständiges Gericht, das mit Süßkartoffeln, Kürbis, Maniok oder grünen (Koch-)Bananen zubereitet werden kann.",qwen2.5:7b,"[3.2, 17.18]",
materialie245-afrika-kochbuch.pdf,"Qualität der Grundbildung ab; dabei steht die Lehrerausbildung im Fokus. Im Gesundheitsbereich geht es darum, den Gesundheitszustand der Bevölkerung – vor allem von Müttern und Neugeborenen – zu verbessern, indem die Versorgung mit essenziellen Gesundheitsdiensten sichergestellt wird. Da große Teile der malawischen Landbevölkerung unter Armut leiden und es an Beschäftigungsmöglichkeiten mangelt, sind Beschäftigungszuwachs und Einkommenssteigerungen Ziele der deutschen Entwicklungszusammenarbeit in der ländlichen Entwicklung. Durch die Stärkung des öffentlichen Finanzmanagements wird dazu beigetragen, dass die Regierung über die Verwendung der Finanzmittel Rechenschaft ablegt und die Gelder im Sinne der armen Bevölkerung verwendet und möglichst effizient eingesetzt werden. Tansania Sambia Indischer OzeanMalawiMwiMalaw rund um Malawi Mosambik hauptStaDtLilongwe Simbabwe Madagaskar fLÄChe118.484 km² einWohnerzahL15,3 Mio. eXportgüterTabak, Tee, Zucker, Baumwolle Nsima (Brei aus Maismehl) mit Bohnen, Kraut und Hähnchen hauptnahrungSMitteL SehenSWürDigkeitenMalawi-See, Kasungu- und Liwonde-Nationalpark BrÄuChe unD feSteMonsun-Fest Malawi 37 fUtali Futali ist ein eigenständiges Gericht, das mit Süßkartoffeln, Kürbis, Maniok oder grünen (Koch-)Bananen zubereitet werden kann.",mistral:7b,"[3.1, 3.12, 17.18, 17.16, 15.3, 13.3, 10.1, 14.7, 12.8, 1.2]",
materialie245-afrika-kochbuch.pdf,"Qualität der Grundbildung ab; dabei steht die Lehrerausbildung im Fokus. Im Gesundheitsbereich geht es darum, den Gesundheitszustand der Bevölkerung – vor allem von Müttern und Neugeborenen – zu verbessern, indem die Versorgung mit essenziellen Gesundheitsdiensten sichergestellt wird. Da große Teile der malawischen Landbevölkerung unter Armut leiden und es an Beschäftigungsmöglichkeiten mangelt, sind Beschäftigungszuwachs und Einkommenssteigerungen Ziele der deutschen Entwicklungszusammenarbeit in der ländlichen Entwicklung. Durch die Stärkung des öffentlichen Finanzmanagements wird dazu beigetragen, dass die Regierung über die Verwendung der Finanzmittel Rechenschaft ablegt und die Gelder im Sinne der armen Bevölkerung verwendet und möglichst effizient eingesetzt werden. Tansania Sambia Indischer OzeanMalawiMwiMalaw rund um Malawi Mosambik hauptStaDtLilongwe Simbabwe Madagaskar fLÄChe118.484 km² einWohnerzahL15,3 Mio. eXportgüterTabak, Tee, Zucker, Baumwolle Nsima (Brei aus Maismehl) mit Bohnen, Kraut und Hähnchen hauptnahrungSMitteL SehenSWürDigkeitenMalawi-See, Kasungu- und Liwonde-Nationalpark BrÄuChe unD feSteMonsun-Fest Malawi 37 fUtali Futali ist ein eigenständiges Gericht, das mit Süßkartoffeln, Kürbis, Maniok oder grünen (Koch-)Bananen zubereitet werden kann.",llama3.1:8b,"[1.2, 10.2]",
smaterialie415-sdg-bericht.pdf,"Zum 1. Februar 2019 hatten 116 Vertragsparteien, darunter die Europäische Union, das Protokoll von Nagoya über den Zugang zu genetischen Ressourcen und die ausgewogene und gerechte Aufteilung der sich aus ihrer Nutzung ergebenden Vorteile ratifiziert (65 Prozent mehr als 2016). Zudem hatten 61 Vertragsparteien (2016 waren es erst 6) Rahmenwerke für den Zugang und die Aufteilung der Vorteile (ABS) angenommen und diesbezügliche Informationen über die ABS- Informationsstelle veröffentlicht. Ferner hatten 145 Vertragsparteien den Internationalen Vertrag über pflanzengenetische Ressourcen für Ernährung und Landwirtschaft ratifiziert. Als Teil des Vertrags wurden mehr als 64.000 standardisierte Vereinbarungen für die Übertragung von mehr als 4,6 Millionen Proben pflanzengenetischer Ressourcen für Ernährung und Landwirtschaft geschlossen. Der Waldverlust in einigen tropischen Regionen wird teilweise durch einen Waldgewinn in Teilen Asiens sowie in Europa und Nordamerika ausgeglichen. In diesen Regionen sind die Waldflächen dank aktiver Aufforstung und Landschaftswiederherstellung sowie natürlichen Waldwachstums auf brach liegendem Agrarland gewachsen. Daher verlangsamte sich der jährliche Nettowaldverlust zwischen 2010 und 2015 um etwa 25 Prozent gegenüber dem Zeitraum 2000- 2005. Zudem ist der Anteil von Waldschutzgebieten und Wäldern mit langfristigen Bewirtschaftungsplänen in allen Weltregionen stabil geblieben oder gestiegen. Ziel 15 | Leben an Land53",llama3.2:3b,"[15.2, 15.1, 14.5, 17.7]",
